source,distance_bin,channel,q25,median,q75,session_count,encounter_count,supported
mint,3,S24,-0.0010631084442138674,0.0005990862846374507,0.002794504165649414,3,5,True
mint,3,S25,-0.001090367635091146,0.00023353099822998036,0.0009549856185913086,3,5,True
mint,3,S26,-0.005173722902933758,0.0013744831085205074,0.004505276679992676,3,5,True
mint,3,S27,-0.002634763717651367,-0.002091646194458008,-0.0009977817535400395,3,5,True
mint,3,S28,-0.004517475763956707,-0.0003147721290588383,0.0026079416275024414,3,5,True
mint,3,S29,-0.00464316209157308,0.0003246665000915522,0.0024213790893554688,3,5,True
mint,3,S3,-0.00031518936157226573,-9.298324584960948e-05,0.0002467632293701172,3,5,True
mint,3,S30,-0.0003654956817626954,4.547834396362302e-05,0.0002338886260986328,3,5,True
mint,3,S31,-0.0033111572265625,-0.001962900161743165,-0.00011523564656575527,3,5,True
mint,3,S32,-0.0007263223330179852,0.0003647208213806151,0.0007911920547485352,3,5,True
mint,3,S4,-0.011065721511840822,-0.0023421049118042014,0.0030541419982910156,3,5,True
mint,3,S5,-0.002499500910441081,-0.001092970371246338,0.001106858253479004,3,5,True
mint,3,S6,-3.353754679361979e-05,-1.4767050743103038e-05,2.98917293548584e-05,3,5,True
mint,3,S7,2.9563903808593696e-05,0.00023055076599121083,0.0003917217254638672,3,5,True
mint,3,S8,-0.002211888631184896,-0.0009204149246215822,0.0012181997299194336,3,5,True
mint,3,S9,-0.002796967824300131,-0.00016576051712036198,0.0011866092681884766,3,5,True
mint,4,S1,-0.007297694683074951,0.008273839950561508,0.020346546173095705,3,6,True
mint,4,S10,-7.474422454833987e-05,2.3398134443494967e-05,0.00011303424835205077,3,6,True
mint,4,S11,-0.00030200183391571045,-0.00018730759620666504,5.427002906799341e-05,3,6,True
mint,4,S12,-0.0008089132606983186,-7.468461990356478e-05,0.0011157631874084474,3,6,True
mint,4,S13,-0.0007635056972503662,-8.392333984375e-05,0.0011922121047973633,3,6,True
mint,4,S14,-0.0006562545895576477,7.468461990356445e-05,0.0010401606559753418,3,6,True
mint,4,S15,-0.0015872418880462644,0.0012725591659545898,0.001680135726928711,3,6,True
mint,4,S16,-0.0002277977764606476,-3.2395124435424805e-05,0.00032269954681396484,3,6,True
mint,4,S17,-0.002295821905136109,-0.0010366439819335938,0.002856314182281494,3,6,True
mint,4,S18,-0.0010134167969226837,-0.00046509504318237305,0.001381009817123413,3,6,True
mint,4,S19,-0.001286968588829041,0.00036859512329101557,0.0004502773284912109,3,6,True
mint,4,S2,-0.0074758827686309814,0.006360292434692376,0.01834714412689209,3,6,True
mint,4,S20,-0.001334458589553833,2.5272369384765625e-05,0.0020092129707336426,3,6,True
mint,4,S21,-0.0004498772323131562,-7.11679458618164e-05,0.0006663501262664795,3,6,True
mint,4,S22,-0.00047567859292030334,0.0001989603042602539,0.0008057951927185059,3,6,True
mint,4,S23,-0.0010990142822265626,7.343292236328125e-05,0.0009327232837677003,3,6,True
mint,4,S24,-0.000889904797077179,0.0012031793594360352,0.0021979212760925293,3,6,True
mint,4,S25,-0.0009220093488693237,0.00030416250228881836,0.0011498332023620605,3,6,True
mint,4,S26,-0.003382086753845215,0.0017967820167541478,0.004993939399719238,3,6,True
mint,4,S27,-0.0008578002452850344,0.0001227988137139214,0.0004672855138778687,3,6,True
mint,4,S28,-0.0024314969778060917,-0.0012776255607604985,0.002590656280517578,3,6,True
mint,4,S29,-0.0023235082626342773,-0.000599205493927002,0.003401815891265869,3,6,True
mint,4,S3,-0.0021261692047119143,3.6027696397569445e-05,0.00015293061733245855,3,6,True
mint,4,S30,-0.00018520280718803406,-8.991360664367676e-05,0.00028321146965026855,3,6,True
mint,4,S31,-0.001944899559020996,8.249282836914062e-05,0.00047138333320617687,3,6,True
mint,4,S32,-0.0004743561148643494,9.518861770629883e-05,0.0006997585296630859,3,6,True
mint,4,S4,-0.004450328648090363,0.0010378956794738744,0.008512115478515625,3,6,True
mint,4,S5,-0.0008561089634895327,-0.0006240010261535645,0.0010799288749694825,3,6,True
mint,4,S6,-3.9720907807350165e-05,-2.1383166313171393e-05,1.569688320159912e-05,3,6,True
mint,4,S7,-0.001301392912864685,-0.0009303092956542971,-0.00034942626953125003,3,6,True
mint,4,S8,-0.000993616878986359,-0.0005760788917541506,0.0010578632354736328,3,6,True
mint,4,S9,-0.0014338642358779907,0.0009016394615173327,0.002817249298095703,3,6,True
mint,5,S1,-0.00455474853515625,0.00884634256362915,0.009596049785614014,4,9,True
mint,5,S10,-0.0001558363437652588,-0.0001051187515258789,-4.4686453683035725e-05,4,9,True
mint,5,S11,0.00023674964904785156,0.0007564624150594076,0.0009227097034454344,4,9,True
mint,5,S12,-0.0007162928581237793,-0.000475466251373291,0.00011759251356124856,4,9,True
mint,5,S13,-0.0006802082061767578,-0.000334322452545166,0.0002302974462509153,4,9,True
mint,5,S14,-0.00046848058700561525,-4.772841930389404e-05,0.00028657913208007796,4,9,True
mint,5,S15,0.00027213777814592637,0.0012612660725911458,0.0016956925392150877,4,9,True
mint,5,S16,-0.00023620128631591798,-0.00017306208610534668,2.3894011974334635e-05,4,9,True
mint,5,S17,-0.0037119030952453614,-0.002578425407409668,7.064640522003087e-05,4,9,True
mint,5,S18,-0.001335906982421875,-0.0009832382202148438,0.00010027736425399759,4,9,True
mint,5,S19,-0.0017164775303431918,0.0001720786094665528,0.00034385919570922857,4,9,True
mint,5,S2,-0.005544805526733398,0.004446148872375488,0.007249265909194945,4,9,True
mint,5,S20,-0.00106356143951416,0.00015115737915039062,0.0007225871086120604,4,9,True
mint,5,S21,-0.00047494769096374513,-8.843839168548584e-05,0.00020314007997512815,4,9,True
mint,5,S22,-0.0002909421920776367,0.00036935508251190186,0.0006036460399627686,4,9,True
mint,5,S23,-0.002427801489830017,-0.0007297197977701817,0.00016272068023681646,4,9,True
mint,5,S24,0.0005706037793840684,0.0021869689226150513,0.002720107634862264,4,9,True
mint,5,S25,-0.00044821500778198243,0.00035619735717773416,0.0008386969566345215,4,9,True
